id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10
120,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,26-Oct-2017,04:00,0.0,
121,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,26-Oct-2017,08:00,0.0,
122,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,26-Oct-2017,12:00,0.0,
123,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,26-Oct-2017,16:00,0.0,
124,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,26-Oct-2017,20:00,0.0,
125,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,00:00,0.0,
126,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,04:00,0.0,
127,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,08:00,0.0,
128,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,12:00,14.75,
129,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,16:00,0.0,
130,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,27-Oct-2017,20:00,0.0,
131,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,00:00,0.0,
132,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,04:00,0.0,
133,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,08:00,0.0,
134,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,12:00,0.0,
135,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,16:00,0.0,
136,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,28-Oct-2017,20:00,0.0,
137,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,29-Oct-2017,00:00,0.0,
138,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,29-Oct-2017,04:00,0.0,
