id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
37784,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,16:00,,,21,Oct,2016
37785,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,Delhi,run2_delhi_delhi_site_1424_20161021,21-Oct-2016,20:00,,,21,Oct,2016
38240,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,00:00,,,21,Oct,2016
38241,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,04:00,,,21,Oct,2016
38242,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,08:00,,,21,Oct,2016
38243,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,12:00,,,21,Oct,2016
38244,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,16:00,,,21,Oct,2016
38245,Delhi,"Lodhi Road, New Delhi - IMD",site_109,Delhi,run2_delhi_delhi_site_109_20161021,21-Oct-2016,20:00,,,21,Oct,2016
38700,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,00:00,,,21,Oct,2016
38701,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,04:00,,,21,Oct,2016
38702,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,08:00,,,21,Oct,2016
38703,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,12:00,,,21,Oct,2016
38704,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,16:00,,,21,Oct,2016
38705,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",site_1425,Delhi,run2_delhi_delhi_site_1425_20161021,21-Oct-2016,20:00,,,21,Oct,2016
39160,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,00:00,120.88,272.92,21,Oct,2016
39161,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,04:00,53.42,136.75,21,Oct,2016
39162,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,08:00,40.02,185.92,21,Oct,2016
39163,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,12:00,33.81,211.2,21,Oct,2016
39164,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,16:00,18.92,107.41,21,Oct,2016
39165,Delhi,"Mandir Marg, New Delhi - DPCC",site_122,Delhi,run2_delhi_delhi_site_122_20161021,21-Oct-2016,20:00,95.62,253.44,21,Oct,2016
39600,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,00:00,,,21,Oct,2016
39601,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,04:00,,,21,Oct,2016
39602,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,08:00,,,21,Oct,2016
39603,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,12:00,,,21,Oct,2016
39604,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,16:00,,,21,Oct,2016
39605,Delhi,"Mundaka, Delhi - DPCC",site_1561,Delhi,run2_delhi_delhi_site_1561_20161021,21-Oct-2016,20:00,,,21,Oct,2016
40050,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,00:00,,,21,Oct,2016
40051,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,04:00,,,21,Oct,2016
40052,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,08:00,,,21,Oct,2016
40053,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,12:00,,,21,Oct,2016
